2017-04-04_04:48:04 2017-04-04_04:48:04
acqua acqua
acque acqua
interruzione interruzione
interruzioni interruzione
lavoro lavoro
lavori lavoro
rete rete
reti rete
servizio servizio
servizi servizio
zona zona
zone zona
disagio disagio
disagi disagio
comune comune
comuni comune
energia energia
energie energia
causa causa
cause causa
intervento intervento
interventi intervento
erogazione erogazione
erogazioni erogazione
guasto guasto
guasta guasto
guaste guasto
guasti guasto
problema problema
problemi problema
strada strada
strade strada
blackout blackout
impianto impianto
impianti impianto
danno danno
danni danno
corrente corrente
correnti corrente
maltempo maltempo
maltempi maltempo
fornitura fornitura
forniture fornitura
linea linea
linee linea
tempo tempo
tempi tempo
sospensione sospensione
sospensioni sospensione
tratto tratto
tratti tratto
gas gas
distribuzione distribuzione
distribuzioni distribuzione
tecnico tecnico
tecnica tecnico
tecniche tecnico
tecnici tecnico
acquedotto acquedotto
acquedotti acquedotto
territorio territorio
territori territorio
condotta condotta
condotte condotta
emergenza emergenza
emergenze emergenza
area area
aree area
fuoco fuoco
fuochi fuoco
manutenzione manutenzione
manutenzioni manutenzione
vigile vigile
vigili vigile
sistema sistema
sistemi sistema
utenza utenza
utenze utenza
casa casa
case casa
pioggia pioggia
piogge pioggia
pioggie pioggia
paese paese
paesi paese
sicurezza sicurezza
sicurezze sicurezza
azienda azienda
aziende azienda
ripristino ripristino
ripristini ripristino
regione regione
regioni regione
riparazione riparazione
riparazioni riparazione
provincia provincia
province provincia
provincie provincia
quartiere quartiere
quartier quartiere
quartieri quartiere
località località
tensione tensione
tensioni tensione
rottura rottura
rotture rottura
serbatoio serbatoio
serbatoi serbatoio
frazione frazione
frazioni frazione
squadra squadra
squadre squadra
disservizio disservizio
disservizi disservizio
luce luce
luci luce
abitazione abitazione
abitazioni abitazione
chiusura chiusura
chiusure chiusura
protezione protezione
protezioni protezione
allagamento allagamento
allagamenti allagamento
carreggiata carreggiata
carreggiate carreggiata
cabina cabina
cabine cabina
centrale centrale
centrali centrale
flusso flusso
flussi flusso
buio buio
bui buio
buia buio
buie buio
elettricità elettricità
struttura struttura
strutture struttura
gestore gestore
gestori gestore
cavo cavo
cava cavo
cave cavo
cavi cavo
albero albero
alberi albero
traffico traffico
traffici traffico
neve neve
nevi neve
stazione stazione
stazioni stazione
pressione pressione
pressioni pressione
mancanza mancanza
mancanze mancanza
metro metro
metri metro
rischio rischio
rischi rischio
vento vento
venti vento
soccorso soccorso
soccorsi soccorso
livello livello
livelli livello
comunicazione comunicazione
comunicazioni comunicazione
informazione informazione
informazioni informazione
auto auto
scuola scuola
scuole scuola
fenomeno fenomeno
fenomeni fenomeno
operazione operazione
operazioni operazione
popolazione popolazione
popolazioni popolazione
sostituzione sostituzione
sostituzioni sostituzione
campo campo
campi campo
ospedale ospedale
ospedali ospedale
conseguenza conseguenza
conseguenze conseguenza
notizia notizia
notizie notizia
treno treno
treni treno
segnalazione segnalazione
segnalazioni segnalazione
ente ente
enti ente
difficoltà difficoltà
perdita perdita
perdite perdita
programma programma
programmi programma
circolazione circolazione
temperatura temperatura
temperature temperatura
ritardo ritardo
ritardi ritardo
polizia polizia
polizie polizia
ondata ondata
ondate ondata
black-out black-out
compagnia compagnia
compagnie compagnia
rubinetto rubinetto
rubinetti rubinetto
attacco attacco
attacchi attacco
collegamento collegamento
collegamenti collegamento
approvvigionamento approvvigionamento
approvvigionamenti approvvigionamento
provvedimento provvedimento
provvedimenti provvedimento
capoluogo capoluogo
capoluoghi capoluogo
incendio incendio
incendi incendio
allaccio allaccio
allacci allaccio
tubazione tubazione
tubazioni tubazione
veicolo veicolo
veicoli veicolo
autobotte autobotte
autobotti autobotte
viabilità viabilità
infrastruttura infrastruttura
infrastrutture infrastruttura
temporale temporale
temporali temporale
transito transito
transiti transito
fiume fiume
fiumi fiume
criticità criticità
nubifragio nubifragio
nubifragi nubifragio
illuminazione illuminazione
illuminazioni illuminazione
incidente incidente
incidenti incidente
calo calo
cali calo
alimentazione alimentazione
alimentazioni alimentazione
allerta allerta
allerte allerta
tubo tubo
tubi tubo
frana frana
frane frana
crisi crisi
terremoto terremoto
terremoti terremoto
trasporto trasporto
trasporti trasporto
secco secco
secca secco
secche secco
secchi secco
tilt tilt
internet internet
caduta caduta
cadute caduta
fulmine fulmine
fulmini fulmine
pericolo pericolo
pericoli pericolo
furto furto
furti furto
pozzo pozzo
pozzi pozzo
portata portata
portate portata
consorzio consorzio
consorzi consorzio
installazione installazione
installazioni installazione
aria aria
arie aria
pompa pompa
pompe pompa
blocco blocco
blocchi blocco
scossa scossa
scosse scossa
automobilista automobilista
automobiliste automobilista
automobilisti automobilista
allarme allarme
allarmi allarme
vittima vittima
vittime vittima
distacco distacco
distacchi distacco
aeroporto aeroporto
aeroporti aeroporto
tubatura tubatura
tubature tubatura
telefonia telefonia
telefonie telefonia
precipitazione precipitazione
precipitazioni precipitazione
conduttura conduttura
condutture conduttura
edificio edificio
edifici edificio
nevicata nevicata
nevicate nevicata
paura paura
paure paura
incrocio incrocio
incroci incrocio
freddo freddo
fredda freddo
fredde freddo
freddi freddo
quadro quadro
quadra quadro
quadre quadro
quadri quadro
raffica raffica
raffiche raffica
torrente torrente
torrenti torrente
ponte ponte
ponti ponte
piattaforma piattaforma
piattaforme piattaforma
ramo ramo
rami ramo
corsia corsia
corsie corsia
carenza carenza
carenze carenza
crollo crollo
crolli crollo
rame rame
rami rame
problematica problematica
sisma sisma
sismi sisma
elettrico elettrico
elettrica elettrico
elettriche elettrico
elettrici elettrico
tombino tombino
tombini tombino
macchina macchina
macchine macchina
morto morto
morta morto
morte morto
morti morto
coda coda
code coda
tempesta tempesta
tempeste tempesta
ferito ferito
ferita ferito
ferite ferito
feriti ferito
autostrada autostrada
autostrade autostrada
gelo gelo
geli gelo
bus bus
caos caos
metropolitana metropolitana
metropolitane metropolitana
rallentamento rallentamento
rallentamenti rallentamento
urgenza urgenza
urgenze urgenza
ferrovia ferrovia
ferrovie ferrovia
smottamento smottamento
smottamenti smottamento
canale canale
canali canale
deposito deposito
depositi deposito
telefonata telefonata
telefonate telefonata
telefono telefono
telefoni telefono
trasformatore trasformatore
trasformatori trasformatore
batteria batteria
batterie batteria
fumo fumo
fumi fumo
computer computer
computers computer
generatore generatore
generatori generatore
generatrice generatore
generatrici generatore
grandine grandine
grandini grandine
infiltrazione infiltrazione
infiltrazioni infiltrazione
sbalzo sbalzo
sbalzi sbalzo
asfalto asfalto
asfalti asfalto
fibra fibra
fibre fibra
centralina centralina
centraline centralina
fango fango
fanghi fango
intensità intensità
ghiaccio ghiaccio
ghiacci ghiaccio
perturbazione perturbazione
perturbazioni perturbazione
rifornimento rifornimento
rifornimenti rifornimento
tromba tromba
trombe tromba
fiamma fiamma
fiamme fiamma
circuito circuito
circuiti circuito
bomba bomba
bombe bomba
hacker hacker
hackers hacker
nucleo nucleo
nuclei nucleo
pompiere pompiere
pompieri pompiere
alluvione alluvione
alluvioni alluvione
copertura copertura
coperture copertura
traliccio traliccio
tralicci traliccio
tram tram
scontro scontro
scontri scontro
malfunzionamento malfunzionamento
malfunzionamenti malfunzionamento
anomalia anomalia
anomalie anomalia
server server
network network
uragano uragano
uragani uragano
evacuazione evacuazione
evacuazioni evacuazione
diga diga
dighe diga
autoclave autoclave
autoclavi autoclave
magnitudo magnitudo
binario binario
binari binario
binaria binario
binarie binario
cisterna cisterna
gasdotto gasdotto
gasdotti gasdotto
fuoriuscita fuoriuscita
fuoriuscite fuoriuscita
impatto impatto
impatti impatto
arteria arteria
arterie arteria
calamità calamità
panico panico
panica panico
paniche panico
panici panico
incubo incubo
incubi incubo
esplosione esplosione
esplosioni esplosione
disastro disastro
disastri disastro
morte morte
morti morte
tragedia tragedia
tragedie tragedia
circonvallazione circonvallazione
circonvallazioni circonvallazione
