id,text,topic
13448, interruzione corrente distribuzione interruzione fornitura energia manutenzione sostituzione informazione polizia comune computer energia distribuzione comune informazione azienda zona ,  false
13449, ,  false
13450, sospensione servizio energia energia interruzione energia tensione erogazione energia servizio distribuzione guasto ,  true
13451, linea tensione cavo strada cavo fuoco luce danno collegamento energia panico elettrico emergenza rottura linea centrale cavo zona cavo fumo paura fuoco sicurezza zona intervento ripristino impianto lavoro ripristino energia area luce causa rottura linea disservizio cabina cabina guasto luce buio corrente linea sbalzo guasto sostituzione problema raffica servizio emergenza ,  true
13452, ,  false
13453,guasto rete emergenza fiume protezione autobotte autobotte popolazione gestore acqua condotta flusso emergenza acqua secco ,  false
13454,guasto rete strada strada causa condotta polizia acqua intervento traffico zona ,  false
13455, linea tensione cavo strada cavo fuoco luce danno collegamento energia panico elettrico emergenza rottura linea centrale cavo zona cavo fumo paura fuoco sicurezza zona intervento ripristino impianto lavoro ripristino energia area luce causa rottura linea disservizio cabina cabina guasto luce buio corrente linea sbalzo guasto sostituzione problema raffica servizio emergenza ,  true
13456, rete luce gas ,  false
13457, sospensione servizio sospensione servizio servizio acqua comune intervento interruzione erogazione acqua collegamento rete comune intervento interruzione erogazione acqua servizio rete telefonia ,  false
13458, sospensione servizio ,  false
13459,acqua erogazione erogazione rete rete sospensione servizio urgenza servizio erogazione sospensione erogazione acqua zona acqua impianto fornitura rete condotta fornitura ,  false
13460, ,  false
13461, interruzione energia carenza territorio interruzione energia carenza interruzione energia carenza popolazione interruzione energia problema causa manutenzione rete paese interruzione problema carenza rete consorzio comunicazione casa popolazione pressione acqua paese ,  false
13462, condotta interruzione servizio sostituzione condotta erogazione acqua chiusura acqua pressione intervento ,  false
13463, rete zona rete zona acqua interruzione servizio territorio fornitura manutenzione rete distribuzione comune erogazione zona servizio fornitura capoluogo zona ripristino servizio acqua tempo intervento azienda rete ,  false
13464,blackout emergenza rete blackout distribuzione energia rete linea riparazione lavoro distribuzione intervento azienda intervento ,  true
13465, interruzione corrente distribuzione interruzione fornitura energia manutenzione sostituzione informazione polizia comune computer energia distribuzione comune informazione azienda zona ,  false
13466, interruzione energia carenza territorio interruzione energia carenza interruzione energia carenza popolazione interruzione energia problema causa manutenzione rete paese interruzione problema carenza rete consorzio comunicazione casa popolazione pressione acqua paese ,  false
13467, interruzione erogazione acqua erogazione acqua sospensione erogazione sostituzione condotta incrocio erogazione acqua intervento erogazione acqua tempo intervento acqua problema autoclave sospensione area zona polizia zona ,  false
13608,sospensione erogazione acqua comune tratto tratto tratto ripristino servizio acqua comune acqua acqua rete acquedotto sospensione servizio ,  false
13468, interruzione energia carenza territorio interruzione energia carenza interruzione energia carenza popolazione interruzione energia problema causa manutenzione rete paese interruzione problema carenza rete consorzio comunicazione casa popolazione pressione acqua paese ,  false
13469,maltempo vento regione pioggia vento regione precipitazione vento regione vento vento caduta trasporto circolazione distribuzione telefonia informazione protezione comune regione ,  true
13470,maltempo vento allerta vento zona comune pressione calo perturbazione pioggia regione precipitazione vento regione vento regione regione rischio vento regione pioggia vento regione precipitazione vento regione vento vento caduta trasporto circolazione distribuzione telefonia informazione protezione comune regione comune ,  true
13471, interruzione erogazione acqua interruzione erogazione acqua interruzione erogazione acqua erogazione acqua sospensione erogazione sostituzione condotta incrocio erogazione acqua intervento erogazione acqua tempo intervento acqua problema autoclave sospensione area zona polizia zona tratto circonvallazione chiusura traffico coda autostrada tempo ,  false
13472, acqua causa sospensione acqua acqua zona zona territorio zona ,  false
13473, ,  false
13474,blackout emergenza rete blackout distribuzione energia rete linea riparazione lavoro distribuzione intervento azienda intervento ,  true
13475, ,  false
13476, rete corrente sicurezza servizio rete energia comune lavoro rete guasto intervento intervento manutenzione distribuzione zona rete rete struttura zona provincia rete distribuzione infrastruttura energia rete rete zona energia disagio servizio lavoro territorio servizio fornitura energia centrale servizio territorio ,  true
13477, interruzione fornitura interruzione fornitura fornitura energia comune manutenzione ,  false
13478,guasto rete bus guasto rete stazione guasto rete circolazione circolazione linea alimentazione servizio circolazione linea ,  true
13479, corrente guasto ,  true
13480,guasto rete rete rottura sistema rete centrale interruzione urgenza riparazione disagio ,  true
13481,guasto rete bus guasto rete stazione guasto rete circolazione circolazione linea alimentazione servizio circolazione linea ,  true
13482,guasto condotta frazione rete segnalazione frazione perdita condotta acqua sospensione servizio pericolo circolazione guasto guasto tratto strada intervento linea guasto linea strada riparazione ,  true
13483,interruzione acqua riparazione rete distribuzione comune erogazione pressione capoluogo ripristino servizio acqua tempo ,  false
13484, interruzione fornitura carenza manutenzione intervento manutenzione gestore fornitura comunicazione erogazione acqua intervento erogazione ,  false
13485, sospensione servizio ,  false
13486,interruzione acqua riparazione rete distribuzione comune erogazione pressione capoluogo ripristino servizio acqua tempo ,  false
13487, acquedotto interruzione fornitura acqua erogazione acqua capoluogo intervento manutenzione rete acquedotto sospensione fornitura acqua paese capoluogo zona casa casa casa erogazione acqua rete acquedotto acqua rete ,  false
13488, acqua acqua morte acqua notizia interruzione fornitura acqua acqua ,  false
13489, sospensione internet ,  false
13490,sospensione sospensione causa territorio territorio territorio territorio zona zona incrocio zona zona territorio bus strada tragedia ,  false
13491, sospensione servizio intervento intervento notizia ,  false
13492, casa ,  false
13493, luce rete guasto servizio rete distribuzione rete servizio comune lavoro rete guasto intervento intervento distribuzione rete distribuzione rete infrastruttura energia rete lavoro zona energia disagio servizio lavoro manutenzione distribuzione zona rete rete struttura zona territorio servizio fornitura energia centrale servizio territorio distribuzione distribuzione condotta servizio guasto intervento fornitura distribuzione ,  true
13494, blackout temporale buio corrente problema maltempo pioggia carenza corrente tempo ,  false
13495, acqua acqua acqua ritardo provincia acqua sistema secco acqua interruzione cisterna acqua acqua mancanza comunicazione problema erogazione acqua distribuzione servizio ritardo erogazione disagio servizio territorio comune fornitura acqua comune sistema servizio problema mancanza ,  false
13496, interruzione energia interruzione energia distribuzione cabina comune servizio elettrico area cabina guasto ripristino servizio elettrico sicurezza intervento erogazione energia cabina disagio distribuzione disagio interruzione ,  true
13497, interruzione fornitura interruzione fornitura fornitura energia comune manutenzione ,  false
13498, rete rete guasto servizio zona distribuzione rete servizio rete energia comune lavoro rete guasto intervento intervento distribuzione rete distribuzione rete infrastruttura energia rete rete emergenza guasto lavoro zona energia disagio servizio lavoro territorio servizio fornitura energia centrale servizio territorio condotta servizio guasto intervento fornitura ,  true
13499,acqua guasto rete acqua guasto rete causa guasto rete acquedotto riparazione guasto causa guasto rete acquedotto riparazione guasto intervento servizio intervento tempo gestore acqua operazione pressione acqua ,  true
13500,interruzione tecnico acqua serbatoio servizio erogazione erogazione utenza frazione impianto autoclave tecnico ,  false
13501,interruzione manutenzione rete distribuzione comune erogazione territorio comune servizio fornitura comune comune ripristino servizio acqua tempo intervento frazione acqua tubo ,  false
13502, fornitura provincia pressione acqua pressione compagnia intervento territorio ,  false
13503, interruzione energia interruzione energia distribuzione cabina comune servizio elettrico area cabina guasto ripristino servizio elettrico sicurezza intervento erogazione energia cabina disagio distribuzione disagio interruzione ,  true
13504,interruzione tecnico acqua serbatoio servizio erogazione erogazione utenza frazione impianto autoclave tecnico ,  false
13505, acqua acqua acquedotto interruzione fornitura regione interruzione erogazione acqua regione installazione interruzione fornitura acqua mancanza erogazione acqua corrente installazione interruzione fornitura mancanza interruzione ,  false
13506,interruzione manutenzione rete distribuzione comune erogazione territorio comune servizio fornitura comune comune ripristino servizio acqua tempo intervento frazione acqua tubo ,  false
13507, sospensione erogazione ripristino livello erogazione acqua acquedotto ,  false
14289,blackout elettrico elettrico blackout elettrico corrente rete zona impianto elettrico corrente buio erogazione energia buio zona buio zona buio blackout corrente zona energia energia zona buio illuminazione ,  true
13508, servizio elettrico interruzione fornitura energia territorio ,  false
13509, acqua quartiere acqua quartiere tilt interruzione servizio popolazione notizia acqua acqua quartiere quartiere acqua popolazione servizio intervento ripristino problema blocco zona corrente fenomeno interruzione corrente interruzione energia guasto acqua corrente quartiere rete distribuzione acqua incidente quartiere sicurezza area scuola ,  true
13510, gas condotta allarme emergenza gas aria flusso pressione fuoco lavoro ente interruzione servizio strada macchina casa area disservizio utenza disagio ente lavoro servizio danno allarme intervento fuoco conseguenza edificio interruzione servizio guasto tubo fuoco utenza guasto lavoro edificio lavoro allarme perdita area traffico sicurezza tubo aria squadra flusso sicurezza tubo fornitura paura auto casa intervento riparazione fuoco strada traffico ,  true
13511,ferrovia linea ferrovia caos linea crisi stazione livello ferrovia guasto rete linea conseguenza disagio ferrovia disservizio linea ente regione disagio rottura cavo linea linea guasto disagio lavoro bus treno bus bus traffico manutenzione linea servizio aria sicurezza sicurezza sicurezza linea linea servizio ente livello servizio ,  true
13512, interruzione fornitura energia territorio interruzione servizio elettrico ripristino territorio rete gestore servizio elettrico emergenza disagio gestore rete territorio comune sospensione energia interruzione servizio blackout ,  true
13513,interruzione manutenzione rete distribuzione comune erogazione territorio comune servizio fornitura comune comune ripristino servizio acqua tempo intervento ,  false
13514,interruzione comune interruzione comune servizio causa collegamento condotta rete distribuzione comune servizio ripristino servizio acqua tempo intervento ,  false
13515,acqua acqua acquedotto interruzione fornitura regione interruzione erogazione acqua regione installazione interruzione fornitura acqua mancanza erogazione acqua corrente installazione interruzione fornitura mancanza interruzione ,  false
13516,interruzione manutenzione rete distribuzione comune erogazione territorio comune servizio fornitura comune comune ripristino servizio acqua tempo intervento ,  false
13517, acqua quartiere acqua quartiere quartiere acqua popolazione servizio intervento ripristino problema blocco zona corrente fenomeno interruzione corrente interruzione energia guasto acqua corrente quartiere rete distribuzione ,  true
13518, interruzione fornitura energia territorio interruzione servizio elettrico ripristino territorio rete gestore servizio elettrico emergenza disagio gestore rete territorio comune sospensione energia interruzione servizio blackout ,  true
13519, erogazione frazione causa sospensione erogazione acquedotto ,  false
13520, interruzione fornitura energia territorio ,  false
